character	code_point	kMandarin17	CNS11643	policy
𣎅	U+23385	yì	huān zhōu yì	kMandarin17 retained
𣎓	U+23393	xuǎn	xuán	kMandarin17 retained
𣏔	U+233D4	kùn	kùn yīn	kMandarin17 retained
𣏗	U+233D7	shù	zhù shù	kMandarin17 retained
𣏡	U+233E1	jí	jī	kMandarin17 retained
𣐃	U+23403	chì	chī	kMandarin17 retained
𣐊	U+2340A	kǎo	kǎo jú	kMandarin17 retained
𣐤	U+23424	jiu	jiù	kMandarin17 retained
𣑝	U+2345D	tuán	tuán qiú	kMandarin17 retained
𣑹	U+23479	xiān	xián	kMandarin17 retained
𣑿	U+2347F	fú	bāo fū fú	kMandarin17 retained
𣒆	U+23486	qiào	qiào què	kMandarin17 retained
𣒌	U+2348C	guō	guō kuǎ	kMandarin17 retained
𣓀	U+234C0	zhēn	jiān zhēn zhěn	kMandarin17 retained
𣓉	U+234C9	shà	jié shà	kMandarin17 retained
𣓌	U+234CC	gāo	gāo jiù	kMandarin17 retained
𣓕	U+234D5	òu	ōu òu	kMandarin17 retained
𣔯	U+2352F	zhǔ	yǔ	kMandarin17 retained
𣔱	U+23531	sōu	sāo	kMandarin17 retained
𣔵	U+23535	chán	tuò chán	kMandarin17 retained
𣔶	U+23536	fán	fán fàn	kMandarin17 retained
𣔼	U+2353C	gān	gě gān gǎn	kMandarin17 retained
𣕃	U+23543	yù	yú yù	kMandarin17 retained
𣕇	U+23547	xiāo	shào	kMandarin17 retained
𣕉	U+23549	gǒu	gōu gǒu jū jǔ	kMandarin17 retained
