character	code_point	kMandarin17	CNS11643	policy
覺	U+89BA	jué	jiào jué	kMandarin17 retained
覻	U+89BB	qū	qù xū	kMandarin17 retained
觀	U+89C0	guān	guān guàn	kMandarin17 retained
见	U+89C1	jiàn	jiàn xiàn	kMandarin17 retained
观	U+89C2	guān	guān guàn	kMandarin17 retained
规	U+89C4	guī	guī guì	kMandarin17 retained
觇	U+89C7	chān	dān chān	kMandarin17 retained
览	U+89C8	lǎn	lǎn làn	kMandarin17 retained
觉	U+89C9	jué	jiào jué	kMandarin17 retained
觌	U+89CC	dí	dí jí	kMandarin17 retained
角	U+89D2	jiǎo	lù jiǎo jué	kMandarin17 retained
觜	U+89DC	zī	zī zuǐ	kMandarin17 retained
觢	U+89E2	shì	zhì shì	kMandarin17 retained
解	U+89E3	jiě	jiě jiè xiè	kMandarin17 retained
触	U+89E6	chù	hóng	kMandarin17 retained
觧	U+89E7	jiě	jiě jiè xiè xiān xiǎn	kMandarin17 retained
觨	U+89E8	hùn	huàn hùn	kMandarin17 retained
觮	U+89EE	lù	lù jué	kMandarin17 retained
觹	U+89F9	xī	juàn jùn xī	kMandarin17 retained
觻	U+89FB	lì	lì lù	kMandarin17 retained
觽	U+89FD	xī	juàn jùn xī	kMandarin17 retained
言	U+8A00	yán	yán yín	kMandarin17 retained
訄	U+8A04	qiú	kāo qiú	kMandarin17 retained
訌	U+8A0C	hòng	hóng	kMandarin17 retained
訍	U+8A0D	chài	chā chà chài	kMandarin17 retained
訙	U+8A19	xùn	fàn xùn	kMandarin17 retained
訢	U+8A22	xīn	xī xīn	kMandarin17 retained
訤	U+8A24	xiáo	ná náo nù xiáo yáo	kMandarin17 retained
訥	U+8A25	nè	nà nè	kMandarin17 retained
訫	U+8A2B	xìn	xìn shēn	kMandarin17 retained
訮	U+8A2E	yán	tiān xián yán	kMandarin17 retained
訯	U+8A2F	sǎ	shǎ	kMandarin17 retained
許	U+8A31	xǔ	hǔ xǔ	kMandarin17 retained
訵	U+8A35	chī	chī chì	kMandarin17 retained
診	U+8A3A	zhěn	zhēn zhěn	kMandarin17 retained
訾	U+8A3E	zǐ	zī zǐ	kMandarin17 retained
詀	U+8A40	zhān	zhān zhàn	kMandarin17 retained
詄	U+8A44	dié	yì	kMandarin17 retained
詇	U+8A47	yàng	yǎng yàng	kMandarin17 retained
詉	U+8A49	náo	ná náo nù	kMandarin17 retained
詍	U+8A4D	yì	shì yì	kMandarin17 retained
詏	U+8A4F	yào	ào	kMandarin17 retained
詐	U+8A50	zhà	zhǎ zhà	kMandarin17 retained
詑	U+8A51	yí	tuō tuó yí	kMandarin17 retained
詘	U+8A58	qū	qū chù	kMandarin17 retained
詤	U+8A64	huǎng	huāng huǎng	kMandarin17 retained
詥	U+8A65	hé	gé hé	kMandarin17 retained
詧	U+8A67	chá	qiè chá	kMandarin17 retained
詨	U+8A68	xiào	jiāo xiào	kMandarin17 retained
詴	U+8A74	wēi	huì wēi	kMandarin17 retained
詶	U+8A76	zhòu	chóu	kMandarin17 retained
詷	U+8A77	tóng	dòng tóng	kMandarin17 retained
詸	U+8A78	mí	mèi mí mì	kMandarin17 retained
詺	U+8A7A	mìng	míng mìng zhào	kMandarin17 retained
詽	U+8A7D	yán	tiān xián yán	kMandarin17 retained
誀	U+8A80	èr	chǐ èr	kMandarin17 retained
誁	U+8A81	bìng	běng	kMandarin17 retained
誂	U+8A82	tiǎo	diào tiǎo	kMandarin17 retained
誃	U+8A83	yí	chǐ	kMandarin17 retained
誈	U+8A88	wū	wū wú	kMandarin17 retained
誏	U+8A8F	lǎng	lǎng làng ràng	kMandarin17 retained
誒	U+8A92	éi	xī ề	kMandarin17 retained
誖	U+8A96	bèi	bó bèi	kMandarin17 retained
語	U+8A9E	yǔ	yǔ yù	kMandarin17 retained
誟	U+8A9F	xiào	jiāo	kMandarin17 retained
誣	U+8AA3	wū	wū wú	kMandarin17 retained
誧	U+8AA7	bū	bū pǔ	kMandarin17 retained
誨	U+8AA8	huì	huǐ huì	kMandarin17 retained
說	U+8AAA	shuō	shuō shuì yuè	kMandarin17 retained
説	U+8AAC	shuō	shuō shuì yuè	kMandarin17 retained
誰	U+8AB0	shuí	shéi shuí	kMandarin17 retained
誳	U+8AB3	qū	hōng jué juè qū zhuó chū chù	kMandarin17 retained
誸	U+8AB8	xián	xián xuán	kMandarin17 retained
誺	U+8ABA	chī	lài chī	kMandarin17 retained
誼	U+8ABC	yì	yí yì	kMandarin17 retained
誽	U+8ABD	nì	ná yì	kMandarin17 retained
調	U+8ABF	diào	diào tiáo zhōu	kMandarin17 retained
諁	U+8AC1	zhuó	chuò	kMandarin17 retained
諅	U+8AC5	jì	jī jì qī	kMandarin17 retained
諈	U+8AC8	zhuì	chuí chuì	kMandarin17 retained
諊	U+8ACA	jū	jú	kMandarin17 retained
請	U+8ACB	qǐng	qīng qíng qǐng	kMandarin17 retained
諍	U+8ACD	zhèng	zhēng	kMandarin17 retained
諎	U+8ACE	zé	jí jiè zhǎ zé zè cuò	kMandarin17 retained
諐	U+8AD0	qiān	qiān yǎn	kMandarin17 retained
諒	U+8AD2	liàng	liáng liàng	kMandarin17 retained
諕	U+8AD5	háo	xià	kMandarin17 retained
論	U+8AD6	lùn	lún lùn	kMandarin17 retained
諙	U+8AD9	huà	huài	kMandarin17 retained
諝	U+8ADD	xū	xǔ	kMandarin17 retained
諞	U+8ADE	piǎn	pián piǎn	kMandarin17 retained
諣	U+8AE3	huà	guā huà	kMandarin17 retained
諯	U+8AEF	zhuān	chuán	kMandarin17 retained
諷	U+8AF7	fěng	fēng fèng	kMandarin17 retained
諹	U+8AF9	yáng	yàng	kMandarin17 retained
諻	U+8AFB	huáng	hēng héng	kMandarin17 retained
諼	U+8AFC	xuān	xuān shuàn	kMandarin17 retained
諿	U+8AFF	qī	qì	kMandarin17 retained
謅	U+8B05	zhōu	zōu	kMandarin17 retained
謈	U+8B08	pó	bó bào pò	kMandarin17 retained
謉	U+8B09	kuì	duǐ tuí guǐ kuì chǒu	kMandarin17 retained
謎	U+8B0E	mí	mèi mí mì	kMandarin17 retained
謑	U+8B11	xǐ	xì	kMandarin17 retained
謔	U+8B14	xuè	nüè	kMandarin17 retained
謕	U+8B15	tí	tí sī	kMandarin17 retained
謙	U+8B19	qiān	qiān qiàn	kMandarin17 retained
謚	U+8B1A	shì	shì yì	kMandarin17 retained
謜	U+8B1C	yuán	yuán yuàn	kMandarin17 retained
謞	U+8B1E	hè	xuè	kMandarin17 retained
謢	U+8B22	lū	hù	kMandarin17 retained
謣	U+8B23	yú	xū yú	kMandarin17 retained
謲	U+8B32	càn	chěn zào càn sān	kMandarin17 retained
謴	U+8B34	gùn	gǔn gùn hùn	kMandarin17 retained
謷	U+8B37	áo	áo ào	kMandarin17 retained
謸	U+8B38	áo	áo ào	kMandarin17 retained
謺	U+8B3A	zhé	zhí zhé	kMandarin17 retained
謾	U+8B3E	mán	mán màn	kMandarin17 retained
謿	U+8B3F	cháo	zhāo cháo	kMandarin17 retained
譃	U+8B43	xū	xū yú	kMandarin17 retained
譌	U+8B4C	é	guǐ é	kMandarin17 retained
譍	U+8B4D	yīng	yīng yìng	kMandarin17 retained
譕	U+8B55	wú	mó	kMandarin17 retained
識	U+8B58	shí	zhì shì	kMandarin17 retained
譙	U+8B59	qiào	qiáo qiào	kMandarin17 retained
譠	U+8B60	tán	zhān	kMandarin17 retained
譤	U+8B64	jī	jī jiāo jiǎo jiào	kMandarin17 retained
譧	U+8B67	zhàn	lián zhān zhàn	kMandarin17 retained
譨	U+8B68	náng	nóu	kMandarin17 retained
譩	U+8B69	yī	yī yǐ yì	kMandarin17 retained
譪	U+8B6A	ǎi	ǎi ài	kMandarin17 retained
譮	U+8B6E	huà	huà huì xiè	kMandarin17 retained
譺	U+8B7A	ài	nǐ yí yè	kMandarin17 retained
譼	U+8B7C	jiàn	jiān jiàn	kMandarin17 retained
讀	U+8B80	dú	dòu dú	kMandarin17 retained
讁	U+8B81	zhé	dí zhé	kMandarin17 retained
讗	U+8B97	xié	guó xī	kMandarin17 retained
讘	U+8B98	niè	zhé	kMandarin17 retained
讞	U+8B9E	yàn	niè yàn	kMandarin17 retained
讦	U+8BA6	jié	jì jié	kMandarin17 retained
讴	U+8BB4	ōu	xú ōu	kMandarin17 retained
许	U+8BB8	xǔ	hǔ xǔ	kMandarin17 retained
论	U+8BBA	lùn	lún lùn	kMandarin17 retained
识	U+8BC6	shí	zhì shí	kMandarin17 retained
诋	U+8BCB	dǐ	dǐ tì	kMandarin17 retained
诌	U+8BCC	zhōu	zhōu zhǒu chōu	kMandarin17 retained
诎	U+8BCE	qū	qū chù	kMandarin17 retained
诏	U+8BCF	zhào	zhāo zhào	kMandarin17 retained
诒	U+8BD2	yí	dài yí	kMandarin17 retained
诟	U+8BDF	gòu	gòu hòu	kMandarin17 retained
详	U+8BE6	xiáng	xiáng yáng	kMandarin17 retained
诧	U+8BE7	chà	dù chà	kMandarin17 retained
诪	U+8BEA	zhōu	zhōu chóu	kMandarin17 retained
语	U+8BED	yǔ	yǔ yù	kMandarin17 retained
说	U+8BF4	shuō	shuō shuò shuì	kMandarin17 retained
诶	U+8BF6	éi	xī yì	kMandarin17 retained
请	U+8BF7	qǐng	qíng qǐng qìng	kMandarin17 retained
诸	U+8BF8	zhū	zhū chú	kMandarin17 retained
诹	U+8BF9	zōu	zhōu zōu	kMandarin17 retained
读	U+8BFB	dú	dòu dú	kMandarin17 retained
谁	U+8C01	shéi	shéi shuí	kMandarin17 retained
谂	U+8C02	shěn	miè shěn	kMandarin17 retained
调	U+8C03	diào	diāo diào tiáo	kMandarin17 retained
谅	U+8C05	liàng	liáng liàng	kMandarin17 retained
谍	U+8C0D	dié	dié xiè	kMandarin17 retained
谏	U+8C0F	jiàn	làn jiàn	kMandarin17 retained
谕	U+8C15	yù	tǒu yù	kMandarin17 retained
谙	U+8C19	ān	tǒu ān	kMandarin17 retained
谛	U+8C1B	dì	dì tí	kMandarin17 retained
谠	U+8C20	dǎng	dǎng dàng	kMandarin17 retained
谥	U+8C25	shì	shì yì	kMandarin17 retained
谦	U+8C26	qiān	qiān zhàn	kMandarin17 retained
谩	U+8C29	màn	mán màn	kMandarin17 retained
谪	U+8C2A	zhé	zhé zé	kMandarin17 retained
谮	U+8C2E	zèn	jiàn zèn	kMandarin17 retained
谯	U+8C2F	qiáo	qiáo qiào	kMandarin17 retained
谶	U+8C36	chèn	chàn chèn	kMandarin17 retained
谷	U+8C37	gǔ	gǔ yù	kMandarin17 retained
谺	U+8C3A	xiā	xiā yá yà	kMandarin17 retained
谻	U+8C3B	jí	jué	kMandarin17 retained
谿	U+8C3F	xī	qī xī	kMandarin17 retained
豀	U+8C40	xī	qī xī	kMandarin17 retained
豁	U+8C41	huō	hè huá huō huò	kMandarin17 retained
豄	U+8C44	dú	dú xiā yá yà	kMandarin17 retained
豈	U+8C48	qǐ	kǎi qǐ	kMandarin17 retained
豉	U+8C49	chǐ	chǐ shì	kMandarin17 retained
豍	U+8C4D	bī	bī biǎn	kMandarin17 retained
豣	U+8C63	jiān	jiān yán	kMandarin17 retained
豥	U+8C65	gāi	gāi hái	kMandarin17 retained
豦	U+8C66	jù	qú	kMandarin17 retained
豧	U+8C67	fū	pū	kMandarin17 retained
豰	U+8C70	bó	bó hù	kMandarin17 retained
豴	U+8C74	dí	dí zhí	kMandarin17 retained
豻	U+8C7B	àn	hàn àn	kMandarin17 retained
豼	U+8C7C	pí	bǐ bì pí	kMandarin17 retained
貀	U+8C80	nà	duò nà	kMandarin17 retained
貃	U+8C83	mò	bó mò	kMandarin17 retained
貇	U+8C87	kūn	kěn	kMandarin17 retained
貈	U+8C88	hé	mò luò gè hé háo	kMandarin17 retained
貉	U+8C89	háo	mò hé háo	kMandarin17 retained
貋	U+8C8B	àn	hàn àn	kMandarin17 retained
貏	U+8C8F	bǐ	bèi bǐ	kMandarin17 retained
貗	U+8C97	jù	lǘ jù	kMandarin17 retained
貟	U+8C9F	yuán	yuán yún yùn	kMandarin17 retained
貦	U+8CA6	wán	wán wàn	kMandarin17 retained
責	U+8CAC	zé	zhài zé	kMandarin17 retained
貭	U+8CAD	zhì	zhí zhì	kMandarin17 retained
貯	U+8CAF	zhù	zhǔ	kMandarin17 retained
貵	U+8CB5	piǎn	piān piǎn	kMandarin17 retained
貸	U+8CB8	dài	dài tè	kMandarin17 retained
貹	U+8CB9	shèng	shēng shèng	kMandarin17 retained
費	U+8CBB	fèi	bì fèi	kMandarin17 retained
貿	U+8CBF	mào	mào mòu	kMandarin17 retained
賁	U+8CC1	bì	bēn bì fén	kMandarin17 retained
賃	U+8CC3	lìn	lìn rèn	kMandarin17 retained
賄	U+8CC4	huì	huǐ huì	kMandarin17 retained
賈	U+8CC8	jiǎ	gǔ jiǎ	kMandarin17 retained
賊	U+8CCA	zéi	zé zéi	kMandarin17 retained
賏	U+8CCF	yīng	yīng yìng	kMandarin17 retained
賓	U+8CD3	bīn	bīn bìn	kMandarin17 retained
賔	U+8CD4	bīn	bīn bìn	kMandarin17 retained
賜	U+8CDC	cì	cì sì	kMandarin17 retained
賢	U+8CE2	xián	xián xiàn	kMandarin17 retained
賩	U+8CE9	cóng	zōng cóng	kMandarin17 retained
質	U+8CEA	zhì	zhí zhì	kMandarin17 retained
賯	U+8CEF	xiōng	mín xīng	kMandarin17 retained
賰	U+8CF0	chǔn	shǔn	kMandarin17 retained
賹	U+8CF9	yì	ài	kMandarin17 retained
賺	U+8CFA	zhuàn	zhuàn zuàn	kMandarin17 retained
贀	U+8D00	yì	yì wèi	kMandarin17 retained
贉	U+8D09	dàn	dàn tǎn	kMandarin17 retained
贋	U+8D0B	yàn	yàn yīng	kMandarin17 retained
贑	U+8D11	gàn	gàn gòng	kMandarin17 retained
贒	U+8D12	xián	xián xiàn	kMandarin17 retained
贛	U+8D1B	gàn	gàn gòng	kMandarin17 retained
贠	U+8D20	yuán	yuán yuàn yún	kMandarin17 retained
责	U+8D23	zé	zhài zé	kMandarin17 retained
贤	U+8D24	xián	xián xiàn	kMandarin17 retained
贬	U+8D2C	biǎn	biǎn fá	kMandarin17 retained
贯	U+8D2F	guàn	guàn wān	kMandarin17 retained
贲	U+8D32	bēn	bēn bì	kMandarin17 retained
贷	U+8D37	dài	dài tè	kMandarin17 retained
费	U+8D39	fèi	fèi fú	kMandarin17 retained
贽	U+8D3D	zhì	zhí zhì	kMandarin17 retained
贾	U+8D3E	jiǎ	jiǎ jià	kMandarin17 retained
资	U+8D44	zī	zī zì	kMandarin17 retained
赊	U+8D4A	shē	shā shē	kMandarin17 retained
赕	U+8D55	dǎn	tàn	kMandarin17 retained
赚	U+8D5A	zhuàn	zhuàn zuàn	kMandarin17 retained
赟	U+8D5F	yūn	bīn yūn	kMandarin17 retained
赡	U+8D61	shàn	dàn shàn	kMandarin17 retained
赣	U+8D63	gàn	gàn gòng	kMandarin17 retained
赥	U+8D65	xī	xì	kMandarin17 retained
赳	U+8D73	jiū	jiū jiǔ	kMandarin17 retained
赵	U+8D75	zhào	diào zhào	kMandarin17 retained
赶	U+8D76	gǎn	gǎn qián	kMandarin17 retained
赿	U+8D7F	chí	zhì chí	kMandarin17 retained
趃	U+8D83	dié	dié tú	kMandarin17 retained
趄	U+8D84	jū	jū qiè	kMandarin17 retained
趇	U+8D87	xì	sè	kMandarin17 retained
趉	U+8D89	jué	jué zhú	kMandarin17 retained
趋	U+8D8B	qū	qū cù	kMandarin17 retained
趌	U+8D8C	jí	jí jié	kMandarin17 retained
趎	U+8D8E	chú	chū chú	kMandarin17 retained
趒	U+8D92	tiáo	tiāo tiáo tiào	kMandarin17 retained
趞	U+8D9E	què	jí què xí	kMandarin17 retained
趠	U+8DA0	chuò	zhuó chào	kMandarin17 retained
趣	U+8DA3	qù	qù cù	kMandarin17 retained
趨	U+8DA8	qū	qū cù	kMandarin17 retained
趭	U+8DAD	jiào	jiào yào	kMandarin17 retained
趯	U+8DAF	tì	tì yuē yuè	kMandarin17 retained
趱	U+8DB1	zǎn	zǎn zū	kMandarin17 retained
足	U+8DB3	zú	jù zú	kMandarin17 retained
趵	U+8DB5	bào	bō bào	kMandarin17 retained
趷	U+8DB7	kē	kē hé	kMandarin17 retained
趻	U+8DBB	chěn	chěn shèn	kMandarin17 retained
趼	U+8DBC	jiǎn	jiǎn yán	kMandarin17 retained
趽	U+8DBD	fàng	fāng	kMandarin17 retained
趿	U+8DBF	tā	tā sà	kMandarin17 retained
跁	U+8DC1	bà	bà pá	kMandarin17 retained
跂	U+8DC2	qí	qí qì	kMandarin17 retained
跄	U+8DC4	qiàng	qiāng qiàng	kMandarin17 retained
跇	U+8DC7	yì	chì yì	kMandarin17 retained
跈	U+8DC8	niǎn	tiàn niǎn jiàn chèn	kMandarin17 retained
跌	U+8DCC	diē	dié	kMandarin17 retained
跐	U+8DD0	cī	cī cǐ cǎi	kMandarin17 retained
跑	U+8DD1	pǎo	páo pǎo	kMandarin17 retained
跔	U+8DD4	jū	fǔ qú qǔ	kMandarin17 retained
跕	U+8DD5	diǎn	dié tiē	kMandarin17 retained
跖	U+8DD6	zhí	zhí zhè	kMandarin17 retained
跙	U+8DD9	jù	jǔ jù qiě qiè qū zhù	kMandarin17 retained
跛	U+8DDB	bǒ	bǒ bì	kMandarin17 retained
跞	U+8DDE	lì	lì yuè	kMandarin17 retained
跤	U+8DE4	jiāo	jiāo qiāo xiāo	kMandarin17 retained
跫	U+8DEB	qióng	qióng xiōng	kMandarin17 retained
跰	U+8DF0	pián	bèng pián	kMandarin17 retained
跶	U+8DF6	da	dá	kMandarin17 retained
跷	U+8DF7	qiāo	qiāo qiào	kMandarin17 retained
跾	U+8DFE	shū	shú	kMandarin17 retained
踄	U+8E04	bù	bó	kMandarin17 retained
踅	U+8E05	xué	xué chì	kMandarin17 retained
踆	U+8E06	cūn	quān qūn cūn	kMandarin17 retained
踈	U+8E08	shū	shū shù sū	kMandarin17 retained
踉	U+8E09	liàng	liáng liàng	kMandarin17 retained
踋	U+8E0B	jiǎo	jiǎo jué	kMandarin17 retained
踍	U+8E0D	qiāo	qiāo xiào	kMandarin17 retained
踑	U+8E11	qí	jī qí	kMandarin17 retained
踒	U+8E12	wō	ruí wō wēi	kMandarin17 retained
踔	U+8E14	chuō	zhuó	kMandarin17 retained
踖	U+8E16	jí	jí què	kMandarin17 retained
踗	U+8E17	niè	niē	kMandarin17 retained
踘	U+8E18	jū	jú	kMandarin17 retained
踙	U+8E19	niè	niè jū	kMandarin17 retained
踝	U+8E1D	huái	huà huái	kMandarin17 retained
踦	U+8E26	yǐ	jǐ qí yǐ	kMandarin17 retained
踫	U+8E2B	pèng	pán pèng	kMandarin17 retained
踬	U+8E2C	zhì	zhī zhì	kMandarin17 retained
踮	U+8E2E	diǎn	diàn	kMandarin17 retained
踱	U+8E31	duó	duò	kMandarin17 retained
踲	U+8E32	dùn	dùn tún	kMandarin17 retained
踳	U+8E33	chuǎn	chuǎn chǔn	kMandarin17 retained
踶	U+8E36	dì	dì zhì	kMandarin17 retained
踹	U+8E39	chuài	chuài shuàn	kMandarin17 retained
踻	U+8E3B	guā	tuó guā guǎ	kMandarin17 retained
踾	U+8E3E	fú	bì fú	kMandarin17 retained
蹈	U+8E48	dǎo	dào	kMandarin17 retained
蹊	U+8E4A	qī	xī	kMandarin17 retained
蹌	U+8E4C	qiāng	qiāng qiàng	kMandarin17 retained
蹍	U+8E4D	niǎn	zhǎn	kMandarin17 retained
蹑	U+8E51	niè	niè shè	kMandarin17 retained
蹒	U+8E52	pán	pán pǎn mán	kMandarin17 retained
蹓	U+8E53	liū	liū liù	kMandarin17 retained
蹔	U+8E54	zàn	zhàn zàn	kMandarin17 retained
蹡	U+8E61	qiāng	qiāng qiàng	kMandarin17 retained
蹢	U+8E62	dí	dí zhí	kMandarin17 retained
蹣	U+8E63	pán	pán mán	kMandarin17 retained
蹨	U+8E68	niǎn	niǎn rǎn	kMandarin17 retained
蹬	U+8E6C	dēng	dèng	kMandarin17 retained
蹮	U+8E6E	xiān	qiān xiān	kMandarin17 retained
蹱	U+8E71	zhōng	zhōng chòng	kMandarin17 retained
蹲	U+8E72	dūn	dūn cún	kMandarin17 retained
蹶	U+8E76	jué	guì jué juě	kMandarin17 retained
蹷	U+8E77	jué	jué juě	kMandarin17 retained
蹸	U+8E78	lìn	lín lìn	kMandarin17 retained
蹹	U+8E79	tá	tà	kMandarin17 retained
蹻	U+8E7B	juē	jiǎo jué qiāo	kMandarin17 retained
蹼	U+8E7C	pǔ	pú	kMandarin17 retained
躀	U+8E80	guàn	guǎn	kMandarin17 retained
躂	U+8E82	dá	dā tà	kMandarin17 retained
躒	U+8E92	lì	lì luò	kMandarin17 retained
躙	U+8E99	lìn	lín lìn	kMandarin17 retained
躜	U+8E9C	zuān	zuān cuó	kMandarin17 retained
躟	U+8E9F	ráng	rǎng	kMandarin17 retained
躠	U+8EA0	sǎ	sà	kMandarin17 retained
躤	U+8EA4	jí	jiè	kMandarin17 retained
躦	U+8EA6	cuó	chá zuān cuó	kMandarin17 retained
身	U+8EAB	shēn	juān shēn	kMandarin17 retained
躮	U+8EAE	fēn	fèn	kMandarin17 retained
躷	U+8EB7	ǎi	ǎi yǐ	kMandarin17 retained
躼	U+8EBC	lào	cháng	kMandarin17 retained
車	U+8ECA	chē	jū chē	kMandarin17 retained
軋	U+8ECB	yà	gá zhá yà	kMandarin17 retained
軐	U+8ED0	xìn	xiàn xìn	kMandarin17 retained
軙	U+8ED9	chén	qí zhèn chén	kMandarin17 retained
軠	U+8EE0	kuáng	kuáng rén rèn	kMandarin17 retained
軡	U+8EE1	qián	qián qín	kMandarin17 retained
軦	U+8EE6	kuàng	huàng	kMandarin17 retained
軪	U+8EEA	āo	āo ào	kMandarin17 retained
軬	U+8EEC	fàn	bèn fàn	kMandarin17 retained
軮	U+8EEE	yǎng	ǎng	kMandarin17 retained
軲	U+8EF2	gū	gū kū	kMandarin17 retained
軵	U+8EF5	rǒng	fǔ rǒng	kMandarin17 retained
軷	U+8EF7	bá	bá bó	kMandarin17 retained
軸	U+8EF8	zhóu	zhóu zhòu zhú	kMandarin17 retained
軽	U+8EFD	zhì	qīng zhì	kMandarin17 retained
輁	U+8F01	gǒng	gǒng qióng	kMandarin17 retained
較	U+8F03	jiào	jiǎo jiào jué	kMandarin17 retained
載	U+8F09	zài	zǎi zài	kMandarin17 retained
輋	U+8F0B	shē	jū shé	kMandarin17 retained
輏	U+8F0F	yóu	qiú yóu	kMandarin17 retained
輑	U+8F11	yǐn	qūn yǐn yǔn	kMandarin17 retained
輘	U+8F18	léng	líng	kMandarin17 retained
輨	U+8F28	guǎn	guān guǎn kài xiá	kMandarin17 retained
輭	U+8F2D	ruǎn	ruǎn ér	kMandarin17 retained
輽	U+8F3D	bèn	bèn fàn	kMandarin17 retained
輾	U+8F3E	zhǎn	niǎn zhǎn	kMandarin17 retained
轁	U+8F41	tāo	dào tāo	kMandarin17 retained
轂	U+8F42	gǔ	gū gǔ	kMandarin17 retained
轄	U+8F44	xiá	kài xiá	kMandarin17 retained
轇	U+8F47	jiāo	jiū	kMandarin17 retained
轉	U+8F49	zhuǎn	zhuǎn zhuàn	kMandarin17 retained
轍	U+8F4D	zhé	zhé chè	kMandarin17 retained
轑	U+8F51	lǎo	láo lǎo	kMandarin17 retained
轔	U+8F54	lín	lín lìn	kMandarin17 retained
轘	U+8F58	huán	huàn	kMandarin17 retained
轛	U+8F5B	zhuì	duì	kMandarin17 retained
轜	U+8F5C	ér	ruǎn ér	kMandarin17 retained
轝	U+8F5D	yù	yú	kMandarin17 retained
轞	U+8F5E	jiàn	jiàn xiàn	kMandarin17 retained
轥	U+8F65	lìn	lín lìn	kMandarin17 retained
轧	U+8F67	yà	zhí zhá yà	kMandarin17 retained
轩	U+8F69	xuān	xiǎn xuān xuàn	kMandarin17 retained
转	U+8F6C	zhuǎn	zhuǎn zhuàn	kMandarin17 retained
轴	U+8F74	zhóu	zhóu zhòu	kMandarin17 retained
轶	U+8F76	yì	dié yí yì	kMandarin17 retained
轺	U+8F7A	yáo	diāo yáo	kMandarin17 retained
轻	U+8F7B	qīng	qīng qìng	kMandarin17 retained
载	U+8F7D	zài	zāi zǎi zài	kMandarin17 retained
辁	U+8F81	quán	quán chūn	kMandarin17 retained
辂	U+8F82	lù	lù hé	kMandarin17 retained
较	U+8F83	jiào	jiáo jiào xiào	kMandarin17 retained
辎	U+8F8E	zī	zī zì	kMandarin17 retained
辒	U+8F92	wēn	wēn yūn	kMandarin17 retained
输	U+8F93	shū	shū shù	kMandarin17 retained
辖	U+8F96	xiá	hé xiá	kMandarin17 retained
辗	U+8F97	zhǎn	niǎn zhǎn	kMandarin17 retained
辚	U+8F9A	lín	lín lìn	kMandarin17 retained
辟	U+8F9F	pì	bì pì	kMandarin17 retained
辥	U+8FA5	xuē	bì pì xuē	kMandarin17 retained
辨	U+8FA8	biàn	biàn piàn	kMandarin17 retained
辩	U+8FA9	biàn	biǎn biàn pián	kMandarin17 retained
辱	U+8FB1	rǔ	rǔ rù	kMandarin17 retained
辴	U+8FB4	chǎn	zhěn	kMandarin17 retained
辺	U+8FBA	biān	fǎn	kMandarin17 retained
込	U+8FBC	yū	rù yū	kMandarin17 retained
达	U+8FBE	dá	dá tà tì	kMandarin17 retained
迆	U+8FC6	yí	yí yǐ	kMandarin17 retained
过	U+8FC7	guò	guō guò	kMandarin17 retained
迉	U+8FC9	qī	qī shī	kMandarin17 retained
迊	U+8FCA	zā	zā yíng yìng	kMandarin17 retained
迋	U+8FCB	wàng	guǎng kuāng wàng	kMandarin17 retained
迎	U+8FCE	yíng	yíng yìng	kMandarin17 retained
迏	U+8FCF	dá	dá tà tì	kMandarin17 retained
运	U+8FD0	yùn	yǔn yùn	kMandarin17 retained
迕	U+8FD5	wǔ	wǔ wù	kMandarin17 retained
迖	U+8FD6	dá	dá tà tì	kMandarin17 retained
还	U+8FD8	hái	bù pǐ fōu fǒu fū fú hái huán xuán wù	kMandarin17 retained
这	U+8FD9	zhè	zhè zhèi	kMandarin17 retained
迚	U+8FDA	dá	zhōng	kMandarin17 retained
违	U+8FDD	wéi	huí wéi	kMandarin17 retained
连	U+8FDE	lián	lián liǎn liàn	kMandarin17 retained
迡	U+8FE1	nì	nì zhì chí chì	kMandarin17 retained
迣	U+8FE3	zhì	zhì chì	kMandarin17 retained
迤	U+8FE4	yí	tuó yí yǐ	kMandarin17 retained
迧	U+8FE7	chén	xún xùn zhèn chén	kMandarin17 retained
迬	U+8FEC	zhù	wǎng	kMandarin17 retained
迮	U+8FEE	zé	zé zuò	kMandarin17 retained
迱	U+8FF1	tuó	tuó yí yǐ	kMandarin17 retained
迲	U+8FF2	qu	qù	kMandarin17 retained
迵	U+8FF5	dòng	dòng tóng	kMandarin17 retained
迸	U+8FF8	bèng	bèng bǐng	kMandarin17 retained
迹	U+8FF9	jì	jī	kMandarin17 retained
追	U+8FFD	zhuī	duī zhuī rǔ rù	kMandarin17 retained
适	U+9002	shì	dí guā kuò shì	kMandarin17 retained
逄	U+9004	páng	páng péng féng	kMandarin17 retained
逅	U+9005	hòu	gòu hòu	kMandarin17 retained
选	U+9009	xuǎn	dié xuǎn	kMandarin17 retained
逌	U+900C	yōu	yóu	kMandarin17 retained
逎	U+900E	qiú	qiú yóu	kMandarin17 retained
逘	U+9018	yǐ	qí sì yǐ	kMandarin17 retained
這	U+9019	zhè	zhè zhèi	kMandarin17 retained
造	U+9020	zào	zào cào	kMandarin17 retained
逢	U+9022	féng	péng féng	kMandarin17 retained
逤	U+9024	suò	shā	kMandarin17 retained
逨	U+9028	lái	lái lài	kMandarin17 retained
逬	U+902C	bèng	bèng bǐng bìng	kMandarin17 retained
